scientific_name,common_name,family,state,data_sources,flower_Jan,flower_Feb,flower_Mar,flower_Apr,flower_May,flower_Jun,flower_Jul,flower_Aug,flower_Sep,flower_Oct,flower_Nov,flower_Dec,seed_Jan,seed_Feb,seed_Mar,seed_Apr,seed_May,seed_Jun,seed_Jul,seed_Aug,seed_Sep,seed_Oct,seed_Nov,seed_Dec
Abelmoschus ficulneus (L.) Wight,,Malvaceae,Australia,austraits,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abelmoschus manihot (L.) Medik.,,Malvaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abelmoschus moschatus Medik.,,Malvaceae,Australia,austraits,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Abelmoschus moschatus subsp. tuberosus (Span.) Borss.Waalk.,,Malvaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abildgaardia macrantha (Boeckeler) Goetgh.,,Cyperaceae,Australia,austraits,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abildgaardia ovata (Burm.f.) Kral,,Cyperaceae,Australia,austraits,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Abildgaardia oxystachya (F.Muell.) K.L.Wilson & J.J.Bruhl,,Cyperaceae,Australia,austraits,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abildgaardia pachyptera (S.T.Blake) K.L.Wilson & J.J.Bruhl,,Cyperaceae,Australia,austraits,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abildgaardia vaginata R.Br.,,Cyperaceae,Australia,austraits,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Abrodictyum caudatum (Brack.) Ebihara & K.Iwats.,,Hymenophyllaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abrodictyum obscurum (Blume) Ebihara & K.Iwats.,,Hymenophyllaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abroma fastuosa R.Br.,,Malvaceae,Australia,austraits,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1
Abroma molle DC.,,Malvaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abrophyllum ornans (F.Muell.) Hook.f. ex Benth.,,Rousseaceae,Australia,austraits,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Abrotanella forsteroides (Hook.f.) Benth.,,Asteraceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abrotanella nivigena (F.Muell.) F.Muell.,,Asteraceae,Australia,austraits,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Abrotanella scapigera (F.Muell.) Benth.,,Asteraceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abrus precatorius L.,,Fabaceae,Australia,austraits,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0
Abrus precatorius subsp. africanus Verdc.,,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abutilon amplum Benth.,,Malvaceae,Australia,austraits,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abutilon auritum (Wall. ex Link) Sweet,,Malvaceae,Australia,austraits,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0
Abutilon calliphyllum Domin,,Malvaceae,Australia,austraits,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Abutilon cryptopetalum (F.Muell.) F.Muell. ex Benth.,,Malvaceae,Australia,austraits,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Abutilon cunninghamii Benth.,,Malvaceae,Australia,austraits,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abutilon fraseri (Hook.) Walp. subsp. fraseri,,Malvaceae,Australia,austraits,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
