scientific_name,family,state,data_sources,flower_Jan,flower_Feb,flower_Mar,flower_Apr,flower_May,flower_Jun,flower_Jul,flower_Aug,flower_Sep,flower_Oct,flower_Nov,flower_Dec,seed_Jan,seed_Feb,seed_Mar,seed_Apr,seed_May,seed_Jun,seed_Jul,seed_Aug,seed_Sep,seed_Oct,seed_Nov,seed_Dec,common_name,Err:508
Abelmoschus ficulneus (L.) Wight,Malvaceae,Australia,austraits,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Native Rosella,
Abelmoschus manihot (L.) Medik.,Malvaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aibika, Sunset Hibiscus",
Abelmoschus moschatus Medik.,Malvaceae,Australia,austraits,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Musk Mallow, Abelmosk",
Abelmoschus moschatus subsp. tuberosus (Span.) Borss.Waalk.,Malvaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Musk Mallow, Abelmosk",
Abildgaardia macrantha (Boeckeler) Goetgh.,Cyperaceae,Australia,austraits,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Abildgaardia ovata (Burm.f.) Kral,Cyperaceae,Australia,austraits,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Abildgaardia oxystachya (F.Muell.) K.L.Wilson & J.J.Bruhl,Cyperaceae,Australia,austraits,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Abildgaardia pachyptera (S.T.Blake) K.L.Wilson & J.J.Bruhl,Cyperaceae,Australia,austraits,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Abildgaardia vaginata R.Br.,Cyperaceae,Australia,austraits,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Abrodictyum caudatum (Brack.) Ebihara & K.Iwats.,Hymenophyllaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Abrodictyum obscurum (Blume) Ebihara & K.Iwats.,Hymenophyllaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Abroma fastuosa R.Br.,Malvaceae,Australia,austraits,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,Devil's Cotton,
Abroma molle DC.,Malvaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Abrophyllum ornans (F.Muell.) Hook.f. ex Benth.,Rousseaceae,Australia,austraits,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,Native Hydrangea,
Abrotanella forsteroides (Hook.f.) Benth.,Asteraceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Abrotanella nivigena (F.Muell.) F.Muell.,Asteraceae,Australia,austraits,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Abrotanella scapigera (F.Muell.) Benth.,Asteraceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Abrus precatorius L.,Fabaceae,Australia,austraits,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,"Crab's Eye, Gidee Gidee, Jequirity Bean",
Abrus precatorius subsp. africanus Verdc.,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Crab's Eye, Gidee Gidee, Jequirity Bean",
Abutilon amplum Benth.,Malvaceae,Australia,austraits,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lantern Bush,
Abutilon auritum (Wall. ex Link) Sweet,Malvaceae,Australia,austraits,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,Asian Indian Mallow,
Abutilon calliphyllum Domin,Malvaceae,Australia,austraits,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Abutilon cryptopetalum (F.Muell.) F.Muell. ex Benth.,Malvaceae,Australia,austraits,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Abutilon cunninghamii Benth.,Malvaceae,Australia,austraits,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Abutilon fraseri (Hook.) Walp. subsp. fraseri,Malvaceae,Australia,austraits,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Dwarf Lantern-flower,
Abutilon fraseri (Hook.) Walp.,Malvaceae,Australia,austraits,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Dwarf Lantern-flower,
Abutilon fraseri subsp. diplotrichum (F.Muell. ex Schltdl.) R.M.Barker,Malvaceae,Australia,austraits,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Dwarf Lantern-flower,
Abutilon geranioides (DC.) Benth.,Malvaceae,Australia,austraits,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
